Question,Top Sources (first 3),Best similarity (1-dist),Manual relevance (0/1/2),Notes
I have a cough for 3 days with mild fever. What should I do?,"ADAM, ADAM, ADAM",0.661,,
What are common causes of chest pain and when is it an emergency?,"ADAM, ADAM, ADAM",0.7928,,
What does blood in urine usually mean?,"NIDDK, ADAM, NIDDK",0.6829,,
I have nausea and diarrhea after eating outside. How can I prevent dehydration?,"NIDDK, NIDDK, NIDDK",0.5987,,
What are signs of stroke that require emergency care?,"ADAM, ADAM, NIHSeniorHealth",0.7202,,
I have a sore throat and runny nose. Could it be flu or common cold?,"ADAM, MPlusHealthTopics, ADAM",0.6258,,
A baby has fever and is not feeding well. What are danger signs?,"ADAM, ADAM, ADAM",0.6465,,
What are symptoms and treatment options for asthma?,"ADAM, ADAM, ADAM",0.841,,
What is anaphylaxis and what should you do immediately?,"ADAM, ADAM, ADAM",0.8026,,
How do you treat a mild skin rash with itching?,"ADAM, ADAM, ADAM",0.71,,
What causes abdominal pain in the lower right side?,"ADAM, ADAM, MPlusHealthTopics",0.6936,,
How long does a viral cough typically last?,"NHLBI, MPlusHealthTopics, ADAM",0.6019,,
What should I do if I feel dizzy and fainted once?,"ADAM, ADAM, ADAM",0.7519,,
What are warning signs of dehydration in children?,"ADAM, NIDDK, ADAM",0.7517,,
Can stress cause headaches and how is it managed?,"ADAM, ADAM, ADAM",0.6817,,
What are symptoms of urinary tract infection (UTI)?,"ADAM, ADAM, NIDDK",0.8388,,
When should someone with fever see a doctor?,"ADAM, ADAM, ADAM",0.8158,,
What is the difference between COVID-19 and flu symptoms?,"ADAM, ADAM, ADAM",0.612,,
